,load,real
1,498,4.711
2,595,4.106
3,517.4,4.865
4,475.9333333,6.454
5,479.9333333,6.233
6,526.1333333,6.676
7,422.0666667,6.663
8,476.6666667,6.663
9,467.1333333,4.351
10,532.7333333,4.441
11,454.3333333,6.56
12,390.2666667,6.69
13,489,6.702
14,523.6,6.652
15,474.7333333,6.084
16,454.8666667,6.597
17,404.1333333,6.788
18,512.4,7.163
19,466.4,7.033
20,493.0666667,6.775
21,490.5333333,6.672
22,423.7333333,6.666
23,421.6666667,6.675
24,466.5333333,6.621
25,516.4666667,5.966
26,651.5333333,7.058
27,628.1333333,8.503
28,974.7333333,12.224
29,753.5333333,12.636
30,876,13.224
31,803.7333333,10.716
32,752.1333333,10.54
33,536.8,10.477
34,501.8666667,13.079
35,462.4666667,10.503
36,393.0666667,12.989
37,359.7333333,6.951
38,348.4,6.775
39,283.8666667,6.338
40,231.7333333,6.398
41,251.5333333,5.149
42,229.9333333,5.256
43,105.4666667,5.845
44,115,5.767
45,288.0666667,5.518
46,468.4,5.883
47,356.5333333,5.887
48,82.46666667,5.894
49,179.2,5.945
50,89.26666667,5.716
51,294.0666667,5.417
52,242.5333333,6.205
53,-92.8,6.437
54,-211.4,6.244
55,-190.8666667,6.227
56,135.4666667,5.986
57,259.2,6.631
58,-33.4,6.417
59,-107.4666667,6.672
60,-133.8,6.522
61,84.26666667,6.657
62,210.8666667,6.432
63,143.4,6.151
64,48.06666667,6.573
65,76.13333333,6.789
66,217.7333333,7.336
67,269.4,9.219
68,296.3333333,12.483
69,705.0666667,12.289
70,235.0666667,11.884
71,257,11.185
72,472.2666667,7.699
73,613,8.545
74,496.6,8.796
75,939.2666667,8.351
76,1114.2,8.136
77,915.4,8.009
78,808,8.308
79,516.9333333,6.726
80,574.4,8.626
81,660.4,6.829
82,784.2666667,6.655
83,740.7333333,8.464
84,615.8666667,8.806
85,635.8,6.574
86,672.8,5.563
87,665.3333333,5.033
88,604.8,5.619
89,665.0666667,7.24
90,674.6666667,5.378
91,491.8666667,3.688
92,768.6,4.531
93,727.5333333,4.715
94,609.7333333,5.105
95,520.6,4.654
96,454.8,4.285
